Date,Volume
01/05/1984,37694400
02/05/1984,55670400
03/05/1984,26030400
04/05/1984,21062400
07/05/1984,28819200
08/05/1984,20592000
09/05/1984,24019200
10/05/1984,27873600
11/05/1984,13920000
14/05/1984,5088000
15/05/1984,14433600
16/05/1984,25579200
17/05/1984,21283200
18/05/1984,31699200
21/05/1984,40896000
22/05/1984,19089600
23/05/1984,12916800
24/05/1984,19435200
25/05/1984,17284800
29/05/1984,20448000
30/05/1984,16238400
31/05/1984,15240000
01/06/1984,23774400
04/06/1984,32203200
05/06/1984,56812800
06/06/1984,27340800
07/06/1984,4766400
08/06/1984,16920000
11/06/1984,16617600
12/06/1984,20630400
13/06/1984,12120000
14/06/1984,12998400
15/06/1984,52435200
18/06/1984,41505600
19/06/1984,28785600
20/06/1984,26102400
21/06/1984,31473600
22/06/1984,16416000
25/06/1984,13185600
26/06/1984,21484800
27/06/1984,21960000
28/06/1984,13185600
29/06/1984,20860800
02/07/1984,19833600
03/07/1984,29596800
05/07/1984,17764800
06/07/1984,33964800
09/07/1984,35256000
10/07/1984,31113600
11/07/1984,31972800
12/07/1984,63753600
13/07/1984,23817600
16/07/1984,19560000
17/07/1984,21940800
18/07/1984,9374400
19/07/1984,22814400
20/07/1984,32414400
23/07/1984,27916800
24/07/1984,17212800
25/07/1984,25713600
26/07/1984,31344000
27/07/1984,31646400
30/07/1984,13809600
31/07/1984,17059200
01/08/1984,18729600
02/08/1984,36211200
03/08/1984,61209600
06/08/1984,47236800
07/08/1984,33072000
08/08/1984,30019200
09/08/1984,82944000
10/08/1984,90748800
13/08/1984,21820800
14/08/1984,19147200
15/08/1984,17016000
16/08/1984,12710400
17/08/1984,14092800
20/08/1984,6129600
21/08/1984,47361600
22/08/1984,38366400
23/08/1984,19804800
24/08/1984,30086400
27/08/1984,10752000
28/08/1984,13617600
29/08/1984,13329600
30/08/1984,12883200
31/08/1984,15638400
04/09/1984,12902400
05/09/1984,20808000
06/09/1984,16737600
07/09/1984,23764800
10/09/1984,45782400
11/09/1984,25118400
12/09/1984,20568000
13/09/1984,28492800
14/09/1984,30696000
17/09/1984,24873600
18/09/1984,24489600
19/09/1984,71208000
20/09/1984,31411200
21/09/1984,33532800
24/09/1984,25363200
25/09/1984,24595200
26/09/1984,39403200
27/09/1984,27604800
28/09/1984,16344000
01/10/1984,20683200
02/10/1984,24739200
03/10/1984,38846400
04/10/1984,32952000
05/10/1984,32145600
08/10/1984,10516800
09/10/1984,13526400
10/10/1984,38404800
11/10/1984,58900800
12/10/1984,23380800
15/10/1984,21912000
16/10/1984,26289600
17/10/1984,37843200
18/10/1984,39988800
19/10/1984,69609600
22/10/1984,15993600
23/10/1984,14836800
24/10/1984,18206400
25/10/1984,87897600
26/10/1984,66758400
29/10/1984,22804800
30/10/1984,32395200
31/10/1984,22334400
01/11/1984,17155200
02/11/1984,61977600
05/11/1984,30792000
06/11/1984,38601600
07/11/1984,38870400
08/11/1984,15825600
09/11/1984,20596800
12/11/1984,7123200
13/11/1984,17160000
14/11/1984,22070400
15/11/1984,22924800
16/11/1984,10113600
19/11/1984,14640000
20/11/1984,15451200
21/11/1984,22660800
23/11/1984,42681600
26/11/1984,21998400
27/11/1984,28497600
28/11/1984,26918400
29/11/1984,20073600
30/11/1984,15984000
03/12/1984,27681600
04/12/1984,21403200
05/12/1984,16713600
06/12/1984,21225600
07/12/1984,9748800
10/12/1984,18158400
11/12/1984,19152000
12/12/1984,20164800
13/12/1984,63820800
14/12/1984,40728000
17/12/1984,19046400
18/12/1984,30811200
19/12/1984,70814400
20/12/1984,18609600
21/12/1984,25560000
24/12/1984,18873600
26/12/1984,8227200
27/12/1984,17265600
28/12/1984,14126400
31/12/1984,27748800
02/01/1985,27259200
03/01/1985,31075200
04/01/1985,11688000
07/01/1985,12465600
08/01/1985,33734400
09/01/1985,16881600
10/01/1985,31646400
11/01/1985,33379200
14/01/1985,42153600
15/01/1985,61353600
16/01/1985,44774400
17/01/1985,26764800
18/01/1985,29054400
21/01/1985,33657600
22/01/1985,31905600
23/01/1985,20083200
24/01/1985,31065600
25/01/1985,24835200
28/01/1985,26284800
29/01/1985,27235200
30/01/1985,31732800
31/01/1985,20702400
01/02/1985,17068800
04/02/1985,21345600
05/02/1985,25852800
06/02/1985,35611200
07/02/1985,25804800
08/02/1985,18336000
11/02/1985,20260800
12/02/1985,35875200
13/02/1985,51134400
14/02/1985,47760000
15/02/1985,35371200
19/02/1985,26160000
20/02/1985,21312000
21/02/1985,31041600
22/02/1985,12340800
25/02/1985,27364800
26/02/1985,18552000
27/02/1985,18384000
28/02/1985,10204800
01/03/1985,30768000
04/03/1985,15081600
05/03/1985,25267200
06/03/1985,38529600
07/03/1985,35078400
08/03/1985,12696000
11/03/1985,23764800
12/03/1985,23644800
13/03/1985,32688000
14/03/1985,41649600
15/03/1985,25939200
18/03/1985,21840000
19/03/1985,27273600
20/03/1985,16622400
21/03/1985,16507200
